,APEC Members,Date of Joining,valor
1,Australia,6-7 Nov 1989,1989
2,Brunei Darussalam,6-7 Nov 1989,1989
3,Canada,6-7 Nov 1989,1989
4,Chile,11-12 Nov 1994,1994
5,People's Republic of China,12-14 Nov 1991,1991
6,"Hong Kong, China",12-14 Nov 1991,1991
7,Indonesia,6-7 Nov 1989,1989
8,Japan,6-7 Nov 1989,1989
9,Republic of Korea,6-7 Nov 1989,1989
10,Malaysia,6-7 Nov 1989,1989
11,Mexico,17-19 Nov 1993,1993
12,New Zealand,6-7 Nov 1989,1989
13,Papua New Guinea,17-19 Nov 1993,1993
14,Peru,14-15 Nov 1998,1998
15,The Philippines,6-7 Nov 1989,1989
16,Russia,14-15 Nov 1998,1998
17,Singapore,6-7 Nov 1989,1989
18,Chinese Taipei,12-14 Nov 1991,1991
19,Thailand,6-7 Nov 1989,1989
20,The United States,6-7 Nov 1989,1989
21,Viet Nam,14-15 Nov 1998,1998
